Timestamp
Score
Time
Life
Score/10s
Life/10s
Reflexes
Ball Speed
Ball Spawn Rate
Life Spawn Rate
2023-11-22 00:13:45,4,8,10,0,0,0,10,4,8
2023-11-22 00:17:28,0,78,6248,1,0,1,1,507905,30,5,5
2023-11-22 00:17:29,0,77,62257,1,0,1,1,508911,30,5,5
2023-11-22 00:17:30,0,76,62473,1,0,1,1,507103,30,5,5
2023-11-22 00:17:31,0,75,61557,1,0,1,1,507671,30,5,5
2023-11-22 00:17:32,0,74,61563,1,0,1,1,506361,30,5,5
2023-11-22 00:17:33,0,73,5834,1,0,1,1,507842,30,5,5
2023-11-22 00:17:34,0,72,56013,1,0,1,1,550125,30,5,5
2023-11-22 00:17:35,0,71,54865,1,0,1,1,533912,30,5,5
2023-11-22 00:17:36,0,70,55325,1,0,1,1,48131,30,5,5
2023-11-22 00:17:37,0,69,54091,1,0,1,1,48131,30,5,5
2023-11-22 00:17:38,0,68,54482,1,0,1,1,480702,30,5,5
2023-11-22 00:17:39,0,67,5555,1,0,1,1,505738,30,5,5
2023-11-22 00:17:40,0,66,53841,1,0,1,1,506241,30,5,5
2023-11-22 00:17:41,0,65,52582,1,0,1,1,506363,30,5,5
2023-11-22 00:17:43,0,64,51506,1,0,1,1,509373,30,5,5
2023-11-22 00:17:44,0,63,50676,1,0,1,1,503922,30,5,5
2023-11-22 00:17:45,0,62,48792,1,0,1,1,504815,30,5,5
2023-11-22 00:17:46,0,61,49446,1,0,1,1,504757,30,5,5
2023-11-22 00:17:47,0,60,47507,1,0,1,1,505103,30,5,5
2023-11-22 00:17:48,0,59,46422,1,0,1,1,50777,30,5,5
2023-11-22 00:17:49,0,58,44672,1,0,1,1,506464,30,5,5
2023-11-22 00:17:50,0,57,45686,1,0,1,1,502451,30,5,5
2023-11-22 00:17:51,0,56,42911,1,0,1,1,505727,30,5,5
2023-11-22 00:17:52,0,55,42612,1,0,1,1,508367,30,5,5
2023-11-22 00:17:53,0,54,4272,1,0,1,1,507436,30,5,5
2023-11-22 00:17:54,0,53,4178,1,0,1,1,506442,30,5,5
2023-11-22 00:17:55,0,52,41092,1,0,1,1,508355,30,5,5
2023-11-22 00:17:56,0,51,40479,1,0,1,1,508355,30,5,5
2023-11-22 00:17:57,0,50,41118,1,0,1,1,502398,30,5,5
2023-11-22 00:17:58,0,49,38823,1,0,1,1,502398,30,5,5
2023-11-22 00:17:59,0,48,37138,1,0,1,1,50496,30,5,5
